time,value
2024-04-03T01:55:24.899,0.5834
2024-04-03T01:58:13.979,0.5836
2024-04-03T02:03:13.891,0.5843
2024-04-03T02:08:24.903,0.5854
2024-04-03T02:13:18.274,0.583
2024-04-03T02:19:16.117,0.5816
2024-04-03T02:24:47.569,0.5842
2024-04-03T02:36:12.599,0.5818
2024-04-03T02:48:37.448,0.5825
2024-04-03T03:02:22.555,0.5822
2024-04-03T03:18:33.380,0.5855
2024-04-03T03:27:19.738,0.583
2024-04-03T03:39:34.297,0.5845
2024-04-03T03:51:55.861,0.586
2024-04-03T04:00:22.196,0.5867
2024-04-03T04:05:36.322,0.587
2024-04-03T04:13:13,0.5879
2024-04-03T04:18:19.017,0.5881
2024-04-03T04:26:10.014,0.588
2024-04-03T04:30:59.125,0.589
2024-04-03T04:38:48.683,0.587
2024-04-03T04:52:25.300,0.5877
2024-04-03T05:05:17.619,0.5869
2024-04-03T05:15:43.052,0.5865
2024-04-03T05:25:31.468,0.5862
2024-04-03T05:42:59.507,0.5853
2024-04-03T05:52:13.654,0.5848
2024-04-03T05:55:38.119,0.5864
2024-04-03T06:06:20.646,0.5883
2024-04-03T06:21:41.168,0.5877
2024-04-03T06:28:15.607,0.5898
2024-04-03T06:36:01.690,0.5885
2024-04-03T06:50:56.928,0.5893
2024-04-03T07:02:45.044,0.5891
2024-04-03T07:14:10.860,0.59
2024-04-03T07:24:32.815,0.5888
2024-04-03T07:39:37.329,0.5885
2024-04-03T07:52:02.183,0.5885
2024-04-03T08:01:02.469,0.5871
2024-04-03T08:08:06.902,0.5856
2024-04-03T08:17:52.547,0.5868
2024-04-03T08:33:29.613,0.5893
2024-04-03T08:39:13.282,0.5917
2024-04-03T08:41:33.674,0.5931
2024-04-03T08:44:08.489,0.594
2024-04-03T08:47:58.440,0.5919
2024-04-03T08:52:20.635,0.5907
2024-04-03T09:00:32.652,0.5903
2024-04-03T09:05:53.777,0.5924
2024-04-03T09:11:58.673,0.5914
2024-04-03T09:21:34.481,0.5908
2024-04-03T09:32:44.748,0.591
2024-04-03T09:45:25.133,0.5908
2024-04-03T09:47:53.018,0.5938
2024-04-03T09:48:28.140,0.5948
2024-04-03T09:54:01.446,0.5934
2024-04-03T10:02:06.915,0.5935
2024-04-03T10:05:20.602,0.5933
2024-04-03T10:11:10.763,0.5921
2024-04-03T10:19:28.046,0.5924
2024-04-03T10:26:12.335,0.5923
2024-04-03T10:31:56.344,0.5904
2024-04-03T10:41:05.878,0.5909
2024-04-03T10:41:51.447,0.5888
2024-04-03T10:45:52.551,0.5877
2024-04-03T10:48:49.380,0.5876
2024-04-03T10:53:31.496,0.5873
2024-04-03T11:01:44.737,0.588
2024-04-03T11:05:51.220,0.5858
2024-04-03T11:09:41.487,0.584
2024-04-03T11:10:12.735,0.5838
2024-04-03T11:17:43.842,0.5842
2024-04-03T11:26:32.207,0.5854
2024-04-03T11:36:50.484,0.5859
2024-04-03T11:45:33.663,0.5848
2024-04-03T11:52:04.497,0.5875
2024-04-03T12:01:51.357,0.584
2024-04-03T12:13:52.359,0.585
2024-04-03T12:24:06.659,0.5837
2024-04-03T12:32:03.127,0.581
2024-04-03T12:33:50.860,0.58
2024-04-03T12:38:48.746,0.5807
2024-04-03T12:48:06.938,0.5793
2024-04-03T12:57:57.456,0.5815
2024-04-03T13:07:12.395,0.583
2024-04-03T13:19:38.470,0.5816
2024-04-03T13:24:34.690,0.5782
2024-04-03T13:31:39.605,0.5798
2024-04-03T13:38:42.010,0.5802
2024-04-03T13:43:13.503,0.5777
2024-04-03T13:52:33.207,0.5796
2024-04-03T14:00:00.154,0.5802
2024-04-03T14:02:12.664,0.585
2024-04-03T14:06:20.867,0.5868
2024-04-03T14:08:35.204,0.5874
2024-04-03T14:12:16.791,0.5872
2024-04-03T14:17:41.176,0.587
2024-04-03T14:27:42.437,0.5885
2024-04-03T14:34:42.261,0.588
2024-04-03T14:43:29.820,0.5863
2024-04-03T14:56:12.993,0.5868
2024-04-03T15:07:44.059,0.5856
2024-04-03T15:20:54.908,0.5845
2024-04-03T15:31:02.352,0.5823
2024-04-03T15:32:47.528,0.5798
2024-04-03T15:36:15.226,0.5783
2024-04-03T15:44:08.166,0.5815
2024-04-03T15:52:32.762,0.581
2024-04-03T16:03:20.314,0.5828
